"file","category","purpose","source"
"E:\gradthesis\curvecurator\script\SQL\rawfinal_8171.sql","SQL preprocessing","Raw 8171 table generation / final raw-data query","E:\gradthesis\curvecurator\script\rawfinal_8171.sql"
"E:\gradthesis\curvecurator\script\SQL\clean_8171.sql","SQL preprocessing","8171 data cleaning query","E:\gradthesis\curvecurator\script\clean_8171.sql"
"E:\gradthesis\curvecurator\script\SQL\general_8171check.sql","SQL QC","General 8171 data checks","E:\gradthesis\curvecurator\script\general_8171check.sql"
"E:\gradthesis\curvecurator\script\Python\script.py","Python preprocessing","Original Python processing script","E:\gradthesis\curvecurator\script\script.py"
"E:\gradthesis\curvecurator\script\Python\check_columns.py","Python QC","Column checking script","E:\gradthesis\curvecurator\script\check_columns.py"
"E:\gradthesis\curvecurator\script\R\rerun_ora_without_nsites_cutoff_existing.R","R enrichment","Existing 8171 ORA rerun without n_sites cutoff","E:\gradthesis\curvecurator\script\rerun_ora_without_nsites_cutoff.R"
"E:\gradthesis\curvecurator\script\CurveCurator_configs\8171_conc_config.toml","CurveCurator config","8171 CurveCurator 4PL fitting parameters","E:\gradthesis\curvecurator\8171\8171_conc_config.toml"
"E:\gradthesis\curvecurator\script\CurveCurator_configs\8170_conc_config.toml","CurveCurator config","8170 CurveCurator 4PL fitting parameters","E:\gradthesis\curvecurator\8170\8170_conc_config.toml"
"E:\gradthesis\curvecurator\script\R\enrichment_original_topN.R","R enrichment","Original ORA enrichment script for TopN analysis","E:\gradthesis\curvecurator\doc\enrichment.R"
"E:\gradthesis\curvecurator\script\Python\codex_analyze_thesis.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\analyze_thesis.py"
"E:\gradthesis\curvecurator\script\Python\codex_audit_curvecurator_input_processing.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\audit_curvecurator_input_processing.py"
"E:\gradthesis\curvecurator\script\Python\codex_build_expanded_brief.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\build_expanded_brief.py"
"E:\gradthesis\curvecurator\script\Python\codex_build_threshold_metrics_brief.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\build_threshold_metrics_brief.py"
"E:\gradthesis\curvecurator\script\Python\codex_calc_cutoffs.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\calc_cutoffs.py"
"E:\gradthesis\curvecurator\script\Python\codex_check_topn_sorting.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\check_topn_sorting.py"
"E:\gradthesis\curvecurator\script\Python\codex_create_unpublished_manuscript_explanation.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\create_unpublished_manuscript_explanation.py"
"E:\gradthesis\curvecurator\script\Python\codex_expanded_thesis_inventory.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\expanded_thesis_inventory.py"
"E:\gradthesis\curvecurator\script\Python\codex_extract_defense_slide_text.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\extract_defense_slide_text.py"
"E:\gradthesis\curvecurator\script\Python\codex_extract_real_gsea_ranks.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\extract_real_gsea_ranks.py"
"E:\gradthesis\curvecurator\script\Python\codex_extract_thesis_text.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\extract_thesis_text.py"
"E:\gradthesis\curvecurator\script\Python\codex_find_docking_site_metrics.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\find_docking_site_metrics.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_best_pec50_schematic.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_best_pec50_schematic.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_best_pec50_summary_diagram.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_best_pec50_summary_diagram.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_candidate_prioritization_branch_diagram.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_candidate_prioritization_branch_diagram.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_gsea_result_redesign.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_gsea_result_redesign.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_qc_metric_icons.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_qc_metric_icons.py"
"E:\gradthesis\curvecurator\script\Python\codex_make_qc_parameter_images.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\make_qc_parameter_images.py"
"E:\gradthesis\curvecurator\script\Python\codex_plot_strict_hits_dose_curves.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\plot_strict_hits_dose_curves.py"
"E:\gradthesis\curvecurator\script\Python\codex_plot_strict_hits_dose_curves_matplotlib.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\plot_strict_hits_dose_curves_matplotlib.py"
"E:\gradthesis\curvecurator\script\Python\codex_thesis_metrics.py","Python audit/figures","Codex-generated thesis audit, plotting, or slide-preparation script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\thesis_metrics.py"
"E:\gradthesis\curvecurator\script\R\codex_rerun_ora_8170_without_nsites_cutoff.R","R sensitivity analysis","Codex-generated ORA sensitivity/rerun script","C:\Users\owner\Documents\Codex\2026-07-07\ni-ha\work\rerun_ora_8170_without_nsites_cutoff.R"
