dataset,metric,site_count,gene_count,percent_sites
8170,detected_sub20_EC50,0,0,0.0
8170,strict_hit_absFC2,0,0,0.0
8170,strict_hit_positiveFC1,0,0,0.0
8170,sub20_strict_hit_absFC2,0,0,0.0
8170,sub20_strict_hit_positiveFC1,0,0,0.0
8170,near_lower_boundary_pEC50_4p5_to_4p699,436,352,4.056946124499861
8170,range_status::fitted_EC50_above_640uM_or_weak,434,376,4.038336279892063
8170,range_status::fitted_EC50_in_20_640uM,6405,2497,59.598027356471576
8170,range_status::missing,3908,1839,36.36363636363637
8171,detected_sub20_EC50,0,0,0.0
8171,strict_hit_absFC2,220,189,1.4350009784097582
8171,strict_hit_positiveFC1,75,74,0.4892048790033266
8171,sub20_strict_hit_absFC2,0,0,0.0
8171,sub20_strict_hit_positiveFC1,0,0,0.0
8171,near_lower_boundary_pEC50_4p5_to_4p699,758,681,4.94423064379362
8171,range_status::fitted_EC50_above_640uM_or_weak,401,379,2.6156154197377863
8171,range_status::fitted_EC50_in_20_640uM,13214,4958,86.1913769486661
8171,range_status::missing,1716,1363,11.193007631596112
