design,true_EC50_uM,true_log2FC_total,signal_group,n,fit_success_rate,sub20_fit_recovery_rate,significant_detection_rate,strict_detection_rate,sub20_strict_recovery_rate,median_fitted_pEC50,median_observed_range_log2FC,median_R2
current_20_640uM,1,1,high,500,0.996,0.342,0.0,0.0,0.0,4.1381268401166755,0.17504995020874264,0.11684643405643069
current_20_640uM,1,1,low,500,1.0,0.316,0.0,0.0,0.0,4.067521129015326,0.32291535723501774,0.16475045628737195
current_20_640uM,1,1,medium,500,1.0,0.344,0.0,0.0,0.0,4.208501832501416,0.22606503576911294,0.17617935721909594
current_20_640uM,1,2,high,500,0.998,0.366,0.0,0.0,0.0,4.137569862424631,0.17294802227666026,0.17728815267152842
current_20_640uM,1,2,low,500,1.0,0.346,0.0,0.0,0.0,3.9778978962062226,0.34299696729809104,0.16192371389858062
current_20_640uM,1,2,medium,500,0.998,0.31,0.0,0.0,0.0,3.9493753754429752,0.2252133739384961,0.18168012404143186
current_20_640uM,1,3,high,500,0.97,0.36,0.0,0.0,0.0,4.174012459112305,0.1660212972728876,0.18012611518430244
current_20_640uM,1,3,low,500,1.0,0.346,0.0,0.0,0.0,3.9932225754266186,0.33667834824334264,0.12587929184774743
current_20_640uM,1,3,medium,500,0.994,0.368,0.0,0.0,0.0,4.213609449897983,0.2292459746722332,0.1515243487041803
current_20_640uM,5,1,high,500,0.998,0.398,0.0,0.0,0.0,4.279942271508105,0.16169445190390747,0.16248908747497504
current_20_640uM,5,1,low,500,1.0,0.318,0.0,0.0,0.0,3.984425331200174,0.33857964972493304,0.1511576150561083
current_20_640uM,5,1,medium,500,1.0,0.368,0.0,0.0,0.0,4.099087105247277,0.23071393622953407,0.18020350922951867
current_20_640uM,5,2,high,500,0.992,0.386,0.0,0.0,0.0,4.188788340305582,0.1729310166213841,0.20436893714396798
current_20_640uM,5,2,low,500,1.0,0.33,0.0,0.0,0.0,3.986015574307237,0.34491752317606206,0.15639333518182746
current_20_640uM,5,2,medium,500,1.0,0.346,0.0,0.0,0.0,4.087851458207135,0.22787010866640897,0.1729204904169792
current_20_640uM,5,3,high,500,0.984,0.346,0.0,0.0,0.0,4.084462846231652,0.17410559958491845,0.17068790638227205
current_20_640uM,5,3,low,500,1.0,0.334,0.0,0.0,0.0,4.123486032920693,0.34205087452080896,0.18452411968824384
current_20_640uM,5,3,medium,500,0.994,0.352,0.0,0.0,0.0,4.072119624259315,0.22732718986028058,0.13857818290982615
current_20_640uM,10,1,high,500,0.994,0.376,0.0,0.0,0.0,4.307234511755189,0.181246474103727,0.2745596319728192
current_20_640uM,10,1,low,500,1.0,0.388,0.0,0.0,0.0,4.254298030871462,0.33113859659704814,0.23263600260409845
current_20_640uM,10,1,medium,500,1.0,0.362,0.0,0.0,0.0,4.256084644364744,0.23334080667368765,0.23601767005469965
current_20_640uM,10,2,high,500,0.986,0.356,0.0,0.0,0.0,4.314259319443699,0.18740318348171775,0.30990755214392895
current_20_640uM,10,2,low,500,1.0,0.368,0.0,0.0,0.0,4.280420338564901,0.33833071663405156,0.2695979049602349
current_20_640uM,10,2,medium,500,1.0,0.346,0.0,0.0,0.0,4.257745350362892,0.2384716864653772,0.2780306986991928
current_20_640uM,10,3,high,500,0.984,0.414,0.0,0.0,0.0,4.389309838370403,0.1854966681319865,0.40549077156626523
current_20_640uM,10,3,low,500,1.0,0.394,0.0,0.0,0.0,4.261035960141289,0.3522309168832376,0.2702568572091898
current_20_640uM,10,3,medium,500,0.996,0.362,0.0,0.0,0.0,4.298153309925141,0.22965554889948103,0.3168358570029983
current_20_640uM,15,1,high,500,1.0,0.524,0.0,0.0,0.0,4.771628177011822,0.23985912492223938,0.6429770881059158
current_20_640uM,15,1,low,500,1.0,0.416,0.0,0.0,0.0,4.445926556457895,0.37171886109187663,0.47029624180165325
current_20_640uM,15,1,medium,500,1.0,0.496,0.0,0.0,0.0,4.622188403608741,0.27781906758868524,0.5490209574722705
current_20_640uM,15,2,high,500,0.998,0.54,0.0,0.0,0.0,4.763459795179126,0.31521636914834406,0.7489503587626026
current_20_640uM,15,2,low,500,1.0,0.428,0.0,0.0,0.0,4.5000669097924515,0.41910132861900634,0.577077381187477
current_20_640uM,15,2,medium,500,1.0,0.552,0.0,0.0,0.0,4.759427469033971,0.35076713189471936,0.6928537660720422
current_20_640uM,15,3,high,500,1.0,0.596,0.0,0.0,0.0,4.774322809086396,0.3354955997069546,0.7848723940569942
current_20_640uM,15,3,low,500,1.0,0.468,0.0,0.0,0.0,4.5140631351801295,0.438240942644715,0.6136081122760697
current_20_640uM,15,3,medium,500,0.996,0.554,0.0,0.0,0.0,4.75649664322113,0.36432423667534,0.7275308256731251
current_20_640uM,20,1,high,500,1.0,0.636,0.0,0.0,0.0,4.754346740511709,0.49517398507960964,0.9063472913578821
current_20_640uM,20,1,low,500,1.0,0.552,0.0,0.0,0.0,4.7306399541843644,0.5737013500754478,0.7287259603780383
current_20_640uM,20,1,medium,500,1.0,0.63,0.0,0.0,0.0,4.7529916522200955,0.5087798519441051,0.84223068310656
current_20_640uM,20,2,high,500,1.0,0.654,0.0,0.0,0.0,4.72268299880008,0.7438638467700458,0.9539969922393179
current_20_640uM,20,2,low,500,1.0,0.604,0.0,0.0,0.0,4.715041752577899,0.8184359752622221,0.849127808916508
current_20_640uM,20,2,medium,500,1.0,0.624,0.0,0.0,0.0,4.719421708863582,0.7769484367980848,0.9250146520015418
current_20_640uM,20,3,high,500,1.0,0.586,0.0,0.0,0.0,4.706993416003847,0.9023724788394807,0.9642646939092328
current_20_640uM,20,3,low,500,1.0,0.488,0.0,0.0,0.0,4.6973982102011735,0.9652683251620584,0.8798670854245323
current_20_640uM,20,3,medium,500,1.0,0.562,0.0,0.0,0.0,4.705123702403954,0.9252767694116881,0.9448023934202956
current_20_640uM,40,1,high,500,1.0,0.052,0.0,0.0,0.0,4.401800041871015,1.0106685310845949,0.9789485627650618
current_20_640uM,40,1,low,500,1.0,0.076,0.0,0.0,0.0,4.4089082987494885,1.0740302081328905,0.9306710916976002
current_20_640uM,40,1,medium,500,1.0,0.084,0.0,0.0,0.0,4.402965311822989,1.0348462476119087,0.9628017205536457
current_20_640uM,40,2,high,500,1.0,0.0,0.0,0.0,0.0,4.401042926862393,1.9661245212004872,0.9922418391625367
current_20_640uM,40,2,low,500,1.0,0.0,0.0,0.0,0.0,4.401430137675326,2.0052499847248524,0.9654850178030798
current_20_640uM,40,2,medium,500,1.0,0.0,0.0,0.0,0.0,4.4014970781170515,1.945274810833916,0.9857482104771784
current_20_640uM,40,3,high,500,1.0,0.0,0.0,0.0,0.0,4.399045132845174,2.8224360506952864,0.993951375381946
current_20_640uM,40,3,low,500,1.0,0.0,0.0,0.0,0.0,4.398698657257652,2.8756827283664306,0.9769183216974024
current_20_640uM,40,3,medium,500,1.0,0.0,0.0,0.0,0.0,4.398261395454416,2.846282863444353,0.9891470555544567
extended_1_640uM,1,1,high,500,1.0,0.992,0.444,0.0,0.0,6.050804616146825,0.5195548531980029,0.784225698065719
extended_1_640uM,1,1,low,500,1.0,0.916,0.086,0.0,0.0,6.028868144190493,0.6129802345907668,0.5376161639305871
extended_1_640uM,1,1,medium,500,1.0,0.956,0.264,0.0,0.0,6.047243247983092,0.5354053624685147,0.700516442717781
extended_1_640uM,1,2,high,500,1.0,1.0,0.81,0.0,0.0,6.0245892290479315,0.7813352604416066,0.891341503830023
extended_1_640uM,1,2,low,500,1.0,0.986,0.262,0.0,0.0,6.018341129493736,0.8732059680885713,0.6963772120698164
extended_1_640uM,1,2,medium,500,1.0,0.992,0.588,0.0,0.0,6.0202224846465295,0.8061221987856362,0.8341789375554286
extended_1_640uM,1,3,high,500,1.0,1.0,0.914,0.0,0.0,6.008088632133554,0.9275582982812463,0.9180014151080174
extended_1_640uM,1,3,low,500,1.0,0.988,0.41,0.0,0.0,6.002757464042153,1.0105952264105038,0.768160099515042
extended_1_640uM,1,3,medium,500,1.0,0.998,0.716,0.0,0.0,6.0088462349254925,0.9522392850797942,0.8734643698426428
extended_1_640uM,5,1,high,500,1.0,1.0,1.0,0.08,0.08,5.299003821798992,1.11063534934558,0.9689524445845529
extended_1_640uM,5,1,low,500,1.0,0.996,0.816,0.01,0.01,5.294280657907002,1.2152415086408674,0.8970772616580269
extended_1_640uM,5,1,medium,500,1.0,1.0,0.966,0.028,0.028,5.300968208723075,1.1433613488940177,0.9520607886925558
extended_1_640uM,5,2,high,500,1.0,1.0,1.0,0.38,0.38,5.300218115417231,2.091120310456737,0.9869955982976387
extended_1_640uM,5,2,low,500,1.0,1.0,0.98,0.054,0.054,5.295639169884804,2.1944979490044005,0.9500847535229352
extended_1_640uM,5,2,medium,500,1.0,1.0,0.992,0.182,0.182,5.298368229150446,2.117894634592692,0.9770553628117546
extended_1_640uM,5,3,high,500,1.0,1.0,1.0,0.506,0.506,5.300116672099256,3.0694853286323296,0.990086961136577
extended_1_640uM,5,3,low,500,1.0,1.0,0.998,0.084,0.084,5.2999358871206885,3.1634202570747103,0.9659395660492007
extended_1_640uM,5,3,medium,500,1.0,1.0,1.0,0.286,0.286,5.29833041205094,3.109340863720932,0.9840598390985813
extended_1_640uM,10,1,high,500,1.0,0.998,1.0,0.162,0.162,4.996611234096926,1.132233229706456,0.9784130241874767
extended_1_640uM,10,1,low,500,1.0,0.97,0.932,0.012,0.012,4.9954245371799395,1.2631664690458426,0.928922979007828
