design,true_EC50_uM,n,fit_success_rate,sub20_fit_recovery_rate,significant_detection_rate,strict_detection_rate,sub20_strict_recovery_rate,median_observed_range_log2FC
current_20_640uM,1,4500,0.9951111111111111,0.3442222222222222,0.0,0.0,0.0,0.23256490498312007
current_20_640uM,5,4500,0.9964444444444445,0.3531111111111111,0.0,0.0,0.0,0.234667159525243
current_20_640uM,10,4500,0.9955555555555555,0.374,0.0,0.0,0.0,0.24463393565834735
current_20_640uM,15,4500,0.9993333333333333,0.5082222222222222,0.0,0.0,0.0,0.3434396533118632
current_20_640uM,20,4500,1.0,0.5928888888888889,0.0,0.0,0.0,0.7715788460104949
current_20_640uM,40,4500,1.0,0.023555555555555555,0.0,0.0,0.0,1.9475502102811726
extended_1_640uM,1,4500,1.0,0.9808888888888889,0.49933333333333335,0.0,0.0,0.8060451121004235
extended_1_640uM,5,4500,1.0,0.9995555555555555,0.9724444444444444,0.17888888888888888,0.17888888888888888,2.125383399158297
extended_1_640uM,10,4500,1.0,0.996,0.9911111111111112,0.30733333333333335,0.30733333333333335,2.161994737516096
extended_1_640uM,15,4500,1.0,0.9822222222222222,0.9951111111111111,0.37955555555555553,0.37933333333333336,2.1715470994090587
extended_1_640uM,20,4500,1.0,0.4235555555555556,0.994,0.402,0.1708888888888889,2.168334229790534
extended_1_640uM,40,4500,1.0,0.0,0.996,0.5044444444444445,0.0,2.1772740700471203
